Label,Count
"سڕینەوەی بۆشایی",43
"گۆڕین بۆ یونیکۆد",37
"پاشەکەوت Word",37
"Gemini",35
"گۆڕین بۆ عەلی کەی",29
"گەڕان و گۆڕین",24
"کەتکردن",14
"تەما",12
"سڕینەوەی دەق",11
"هەواڵەکان",9
"دەربارە",7
"داگرتنی ڤیدیۆ",2
"دۆزینەوە",1
"گۆڕینی هەموو",1
"هێنانی Word",1


Time,City,Country,Device
"2026-05-01T01:50:53.228Z","---","---","🖥️ کۆمپیوتەر"
"2026-05-01T01:50:53.739Z","Sulaymaniyah","Iraq","🖥️ کۆمپیوتەر"
"2026-05-01T01:52:16.208Z","---","---","🖥️ کۆمپیوتەر"
"2026-05-01T01:52:16.470Z","Sulaymaniyah","Iraq","🖥️ کۆمپیوتەر"
"2026-05-01T01:58:38.800Z","---","---","🖥️ کۆمپیوتەر"
"2026-05-01T01:58:39.299Z","---","---","🖥️ کۆمپیوتەر"
"2026-05-01T01:58:39.710Z","Sulaymaniyah","Iraq","🖥️ کۆمپیوتەر"
"2026-05-01T01:58:44.459Z","---","---","🖥️ کۆمپیوتەر"
"2026-05-01T01:58:44.789Z","Sulaymaniyah","Iraq","🖥️ کۆمپیوتەر"
"2026-05-01T02:00:07.196Z","---","---","🖥️ کۆمپیوتەر"
"2026-05-01T02:00:07.514Z","Sulaymaniyah","Iraq","🖥️ کۆمپیوتەر"
"2026-05-01T02:00:23.414Z","---","---","🖥️ کۆمپیوتەر"
"2026-05-01T02:00:23.497Z","Sulaymaniyah","Iraq","🖥️ کۆمپیوتەر"
"2026-05-01T02:02:21.285Z","---","---","🖥️ کۆمپیوتەر"
"2026-05-01T02:02:21.636Z","Sulaymaniyah","Iraq","🖥️ کۆمپیوتەر"
"2026-05-01T02:22:20.461Z","---","---","🖥️ کۆمپیوتەر"
"2026-05-01T02:22:20.938Z","Sulaymaniyah","Iraq","🖥️ کۆمپیوتەر"
